env,noise_std,seed,planner_success,collision,success,path_length,num_waypoints,total_nodes,planning_time
simple,0.0,0,True,False,True,11.835142574414965,26,112,0.1444706916809082
simple,0.0,1,True,False,True,12.596739166952759,27,110,0.03512835502624512
simple,0.0,2,True,False,True,9.033331291354948,20,103,0.05223226547241211
simple,0.0,3,True,False,True,8.49361775982406,19,51,0.05377078056335449
simple,0.0,4,True,False,True,9.875075002201298,22,54,0.055718183517456055
simple,0.005,0,True,False,True,11.835142574414965,26,112,0.14985322952270508
simple,0.005,1,True,False,True,12.596739166952759,27,110,0.0361790657043457
simple,0.005,2,True,False,True,9.033331291354948,20,103,0.05192112922668457
simple,0.005,3,True,False,True,8.49361775982406,19,51,0.05372285842895508
simple,0.005,4,True,False,True,9.875075002201298,22,54,0.05652809143066406
simple,0.01,0,True,False,True,11.835142574414965,26,112,0.15075063705444336
simple,0.01,1,True,False,True,12.596739166952759,27,110,0.03479743003845215
simple,0.01,2,True,False,True,9.033331291354948,20,103,0.0503382682800293
simple,0.01,3,True,False,True,8.49361775982406,19,51,0.057135820388793945
simple,0.01,4,True,False,True,9.875075002201298,22,54,0.056592702865600586
simple,0.02,0,True,False,True,11.835142574414965,26,112,0.15002131462097168
simple,0.02,1,True,False,True,12.596739166952759,27,110,0.03495621681213379
simple,0.02,2,True,False,True,9.033331291354948,20,103,0.05125284194946289
simple,0.02,3,True,False,True,8.49361775982406,19,51,0.05310773849487305
simple,0.02,4,True,False,True,9.875075002201298,22,54,0.05561494827270508

